City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Chenzhou,CN,51.85,clear sky,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
622,Wylie,US,62.71,clear sky,33.0151,-96.5389,Best Western Plus Wylie Inn
625,Tanggu,CN,39.16,broken clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
626,Pokhara,NP,56.35,clear sky,28.2333,83.9833,Butterfly Lodge
627,Jamtara,IN,65.46,few clouds,23.95,86.8,SM LODGE AND ROOMS
634,Mwinilunga,ZM,61.43,light rain,-11.7358,24.4293,Kwakuwahi Lodge
635,Morgan City,US,59.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
636,Samoylovka,RU,41.04,overcast clouds,51.184,43.7081,
637,Russell,US,54.63,broken clouds,32.3502,-85.1999,Macs
638,Kitob,UZ,41.58,clear sky,39.0843,66.8332,KESH HOTEL
643,Guadalupe Y Calvo,MX,62.11,few clouds,26.1,-106.9667,Hotel Pizarro
644,Camacha,PT,60.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
645,North Bend,US,55.31,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
648,Krizevci,HR,40.59,overcast clouds,46.0219,16.5425,Koristan Kod d.o.o.
651,Payakumbuh,ID,68.38,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
653,Kazerun,IR,59.49,scattered clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
654,Kuito,AO,61.2,light rain,-12.3833,16.9333,Herdeiros de Antunes Capusso
656,Cedar City,US,45.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
659,Half Moon Bay,US,60.71,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
662,Asau,RO,45.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
663,Wageningen,NL,35.8,fog,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
664,Praia Da Vitoria,PT,61.05,broken clouds,38.7333,-27.0667,Hotel Branco I
674,Hvide Sande,DK,36.18,overcast clouds,56.0045,8.1294,Hvide Sande Hotel
677,Dawson Creek,CA,44.24,clear sky,55.7666,-120.2362,Peace Villa Motel
686,Nuevo Progreso,MX,68.5,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
688,Inverell,AU,56.88,few clouds,-29.7833,151.1167,Sapphire City Motor Inn
689,Ibra,OM,68.45,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
692,Portland,US,60.78,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
693,Taltal,CL,66.97,scattered clouds,-25.4,-70.4833,Residencial Karime
696,Lincoln,US,50.38,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
698,Kantemirovka,RU,43.99,overcast clouds,49.7089,39.8592,Premier Hotel
700,Hokitika,NZ,61.38,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
701,Kamarion,GR,62.02,overcast clouds,36.8,25.8167,Rooms Eleni
709,Gejiu,CN,42.46,few clouds,23.306,103.1635,Hongtai Commercial Hotel
712,Gidam,IN,63.25,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
713,Krasnaya Gora,RU,37.31,overcast clouds,52.9995,31.6023,
