City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Half Moon Bay,US,2021-11-27 19:00:56,37.4636,-122.4286,62.51,69,1,0.0
203,Kenora,CA,2021-11-27 19:00:56,49.8167,-94.4337,31.98,91,100,8.68
204,Vanavara,RU,2021-11-27 19:00:57,60.34,102.2797,6.22,93,100,8.23
205,Khatanga,RU,2021-11-27 19:00:57,71.9667,102.5,-4.18,91,100,15.12
206,Bethel,US,2021-11-27 18:59:31,41.3712,-73.414,37.51,45,5,12.53
207,Pevek,RU,2021-11-27 19:00:57,69.7008,170.3133,-16.94,87,4,3.74
208,San Quintin,MX,2021-11-27 19:00:57,30.4833,-115.95,73.04,30,0,4.97
209,Blind River,CA,2021-11-27 19:00:58,46.1834,-82.9582,26.85,47,89,1.25
210,Manokwari,ID,2021-11-27 19:00:58,-0.8667,134.0833,78.42,81,100,5.21
211,Yumen,CN,2021-11-27 19:00:58,40.2833,97.2,25.48,45,100,6.38
212,Torata,PE,2021-11-27 18:59:16,-17.0769,-70.8433,64.87,57,91,9.93
213,Axim,GH,2021-11-27 19:00:58,4.8699,-2.2405,79.66,80,82,6.67
214,Belmonte,BR,2021-11-27 19:00:59,-15.8631,-38.8828,80.69,78,100,11.41
215,Prince Rupert,CA,2021-11-27 18:59:21,54.3161,-130.3201,46.49,76,90,26.46
216,Tual,ID,2021-11-27 19:00:59,-5.6667,132.75,83.61,71,100,5.08
217,Villamontes,BO,2021-11-27 19:00:59,-21.25,-63.5,103.12,27,46,12.46
218,Camacha,PT,2021-11-27 19:00:59,33.0833,-16.3333,60.22,77,40,17.27
219,Mount Gambier,AU,2021-11-27 19:00:26,-37.8333,140.7667,45.03,93,8,5.82
220,Loa Janan,ID,2021-11-27 19:01:00,-0.583,117.095,73.85,99,100,1.83
221,Quelimane,MZ,2021-11-27 19:01:00,-17.8786,36.8883,71.82,74,86,5.37
222,Guerrero Negro,MX,2021-11-27 19:01:00,27.9769,-114.0611,76.32,40,0,10.8
223,Rantepao,ID,2021-11-27 19:01:01,-2.9701,119.8978,68.09,97,100,1.77
224,Mollendo,PE,2021-11-27 19:02:01,-17.0231,-72.0147,68.99,75,90,10.54
225,Carnarvon,AU,2021-11-27 19:02:01,-24.8667,113.6333,77.5,53,0,13.2
226,Villiers,ZA,2021-11-27 19:02:01,-27.0303,28.6006,59.09,84,98,3.89
227,Coihaique,CL,2021-11-27 19:02:02,-45.5752,-72.0662,63.91,31,6,9.93
228,Port Augusta,AU,2021-11-27 19:02:02,-32.5,137.7667,62.29,61,100,7.0
